Title,Streaming On,Price
Memento,Not Available,Not Available
Wall·E,Not Available,Not Available
Indiana Jones And The Raiders Of The Lost Ark,Google Play Film & TV,"25.000,00"
Indiana Jones And The Raiders Of The Lost Ark,Apple TV,"25.000,00"
The Lives Of Others,Not Available,Not Available
12Th Fail,Netflix,Langganan
Sunset Boulevard,Google Play Film & TV,"25.000,00"
Avengers: Infinity War,Not Available,Not Available
Paths Of Glory,Apple TV,"25.000,00"
Spider-Man: Into The Spider-Verse,Vidio,Langganan
Spider-Man: Into The Spider-Verse,Google Play Film & TV,Langganan
Spider-Man: Into The Spider-Verse,Apple TV,Langganan
Witness For The Prosecution,Apple TV,"25.000,00"
The Shining,Apple TV,"25.000,00"
The Great Dictator,Not Available,Not Available
Aliens,Not Available,Not Available
Inglourious Basterds,Amazon Prime Video,Langganan
Inglourious Basterds,Apple TV,Langganan
Inglourious Basterds,Google Play Film & TV,Langganan
The Dark Knight Rises,Apple TV,"25.000,00"
The Dark Knight Rises,Google Play Film & TV,"25.000,00"
Coco,Not Available,Not Available
Amadeus,Apple TV,"25.000,00"
Toy Story,Not Available,Not Available
Dr. Strangelove Or: How I Learned To Stop Worrying And Love The Bomb,Apple TV,"25.000,00"
Oldboy,Not Available,Not Available
American Beauty,Google Play Film & TV,"25.000,00"
American Beauty,Apple TV,"25.000,00"
Avengers: Endgame,Not Available,Not Available
Das Boot,Not Available,Not Available
Good Will Hunting,Apple TV,"25.000,00"
Braveheart,Not Available,Not Available
Princess Mononoke,Netflix,Langganan
Your Name.,Apple TV,"29.000,00"
Joker,Apple TV,"25.000,00"
Joker,Google Play Film & TV,"25.000,00"
High And Low,Netflix,Langganan
3 Idiots,Apple TV,"25.000,00"
Once Upon A Time In America,Not Available,Not Available
Singin' In The Rain,Not Available,Not Available
Capernaum,Not Available,Not Available
Come And See,Not Available,Not Available
Requiem For A Dream,Apple TV,"25.000,00"
Toy Story 3,Not Available,Not Available
Star Wars: Episode Vi - Return Of The Jedi,Not Available,Not Available
The Hunt,Netflix,Langganan
The Hunt,Apple TV,Langganan
The Hunt,Google Play Film & TV,Langganan
Eternal Sunshine Of The Spotless Mind,Netflix,Langganan
Eternal Sunshine Of The Spotless Mind,iQIYI,Langganan
Eternal Sunshine Of The Spotless Mind,Amazon Prime Video,Langganan
Ikiru,Not Available,Not Available
2001: A Space Odyssey,Google Play Film & TV,"25.000,00"
2001: A Space Odyssey,Apple TV,"25.000,00"
Reservoir Dogs,Apple TV,"25.000,00"
Lawrence Of Arabia,Netflix,Langganan
Lawrence Of Arabia,Google Play Film & TV,Langganan
Lawrence Of Arabia,Apple TV,Langganan
The Apartment,Apple TV,"25.000,00"
Incendies,Not Available,Not Available
Scarface,Amazon Prime Video,Langganan
Scarface,Vidio,Langganan
North By Northwest,Google Play Film & TV,"25.000,00"
North By Northwest,Apple TV,"25.000,00"
Double Indemnity,Not Available,Not Available
Citizen Kane,Apple TV,"25.000,00"
Citizen Kane,Google Play Film & TV,"25.000,00"
M,Not Available,Not Available
Vertigo,Not Available,Not Available
Heat,Vidio,Langganan
Full Metal Jacket,Google Play Film & TV,"28.000,00"
Oppenheimer,Apple TV,"25.000,00"
Oppenheimer,Google Play Film & TV,"25.000,00"
Up,Not Available,Not Available
Amélie,Not Available,Not Available
A Clockwork Orange,Not Available,Not Available
To Kill A Mockingbird,Not Available,Not Available
A Separation,Not Available,Not Available
The Sting,Not Available,Not Available
Die Hard,Not Available,Not Available
Like Stars On Earth,Not Available,Not Available
Indiana Jones And The Last Crusade,Google Play Film & TV,"25.000,00"
Indiana Jones And The Last Crusade,Apple TV,"25.000,00"
Metropolis,Not Available,Not Available
Snatch,Vidio,Langganan
Snatch,Apple TV,Langganan
Snatch,Google Play Film & TV,Langganan
1917,Not Available,Not Available
L.A. Confidential,Vidio,Langganan
Bicycle Thieves,Not Available,Not Available
Downfall,Not Available,Not Available
Hamilton,Not Available,Not Available
Taxi Driver,Apple TV,"25.000,00"
Taxi Driver,Google Play Film & TV,"25.000,00"
Dangal,Not Available,Not Available
The Wolf Of Wall Street,Not Available,Not Available
Batman Begins,Netflix,Langganan
Batman Begins,Apple TV,Langganan
Batman Begins,Google Play Film & TV,Langganan
For A Few Dollars More,Apple TV,"25.000,00"
Green Book,Not Available,Not Available
Some Like It Hot,Not Available,Not Available
The Truman Show,Google Play Film & TV,"25.000,00"
The Truman Show,Apple TV,"25.000,00"
Judgment At Nuremberg,Not Available,Not Available
The Kid,Not Available,Not Available
The Father,Apple TV,"25.000,00"
Shutter Island,Google Play Film & TV,"25.000,00"
Shutter Island,Apple TV,"25.000,00"
All About Eve,Not Available,Not Available
There Will Be Blood,Not Available,Not Available
Jurassic Park,Amazon Prime Video,Langganan
Jurassic Park,Vidio,Langganan
Jurassic Park,Apple TV,Langganan
Jurassic Park,Google Play Film & TV,Langganan
Casino,Amazon Prime Video,Langganan
Top Gun: Maverick,Google Play Film & TV,"25.000,00"
Top Gun: Maverick,Apple TV,"25.000,00"
The Sixth Sense,Not Available,Not Available
Ran,Not Available,Not Available
Pan'S Labyrinth,Not Available,Not Available
No Country For Old Men,Google Play Film & TV,"25.000,00"
No Country For Old Men,Apple TV,"25.000,00"
Unforgiven,Apple TV,"25.000,00"
The Thing,Not Available,Not Available
A Beautiful Mind,Google Play Film & TV,"25.000,00"
A Beautiful Mind,Apple TV,"25.000,00"
Kill Bill: Vol. 1,Not Available,Not Available
The Wild Robot,Not Available,Not Available
The Treasure Of The Sierra Madre,Apple TV,"25.000,00"
Yojimbo,Not Available,Not Available
Prisoners,Apple TV,"25.000,00"
The Great Escape,Apple TV,"25.000,00"
Finding Nemo,Not Available,Not Available
Monty Python And The Holy Grail,Apple TV,"25.000,00"
Howl'S Moving Castle,Netflix,Langganan
The Elephant Man,Not Available,Not Available
Rashomon,Not Available,Not Available
Dial M For Murder,Not Available,Not Available
Gone With The Wind,Google Play Film & TV,"25.000,00"
Chinatown,Not Available,Not Available
The Secret In Their Eyes,Not Available,Not Available
"Lock, Stock And Two Smoking Barrels",Not Available,Not Available
Inside Out,Not Available,Not Available
V For Vendetta,Google Play Film & TV,"25.000,00"
V For Vendetta,Apple TV,"25.000,00"
"Three Billboards Outside Ebbing, Missouri",Not Available,Not Available
Raging Bull,Apple TV,"25.000,00"
Raging Bull,Google Play Film & TV,"25.000,00"
Klaus,Netflix,Langganan
Trainspotting,Not Available,Not Available
The Bridge On The River Kwai,Apple TV,"25.000,00"
Catch Me If You Can,Vidio,Langganan
Catch Me If You Can,Google Play Film & TV,Langganan
Catch Me If You Can,Apple TV,Langganan
Fargo,Apple TV,"25.000,00"
Warrior,Apple TV,"25.000,00"
Warrior,Google Play Film & TV,"25.000,00"
Spider-Man: No Way Home,Netflix,Langganan
Spider-Man: No Way Home,Google Play Film & TV,Langganan
Spider-Man: No Way Home,Apple TV,Langganan
Gran Torino,Google Play Film & TV,"28.000,00"
Harry Potter And The Deathly Hallows: Part 2,Google Play Film & TV,"25.000,00"
Harry Potter And The Deathly Hallows: Part 2,Apple TV,"25.000,00"
Million Dollar Baby,Not Available,Not Available
My Neighbor Totoro,Netflix,Langganan
Mad Max: Fury Road,Netflix,Langganan
Mad Max: Fury Road,Apple TV,Langganan
Ben-Hur,Apple TV,"25.000,00"
Children Of Heaven,Apple TV,"25.000,00"
Barry Lyndon,Google Play Film & TV,"25.000,00"
Barry Lyndon,Apple TV,"25.000,00"
12 Years A Slave,Not Available,Not Available
Blade Runner,Not Available,Not Available
Before Sunrise,Google Play Film & TV,"28.000,00"
The Grand Budapest Hotel,Not Available,Not Available
Hacksaw Ridge,Netflix,Langganan
Hacksaw Ridge,Vidio,Langganan
Dead Poets Society,Not Available,Not Available
Gone Girl,Vidio,Langganan
Memories Of Murder,Not Available,Not Available
In The Name Of The Father,Not Available,Not Available
The Gold Rush,Not Available,Not Available
Maharaja,Netflix,Langganan
"Monsters, Inc.",Not Available,Not Available
Wild Tales,Not Available,Not Available
Ratatouille,Not Available,Not Available
The Deer Hunter,Not Available,Not Available
How To Train Your Dragon,Apple TV,"25.000,00"
How To Train Your Dragon,Google Play Film & TV,"25.000,00"
Jaws,Netflix,Langganan
Jaws,Amazon Prime Video,Langganan
Sherlock Jr.,Not Available,Not Available
The General,Not Available,Not Available
Mary And Max,Not Available,Not Available
On The Waterfront,Apple TV,"25.000,00"
On The Waterfront,Google Play Film & TV,"25.000,00"
The Wages Of Fear,Netflix,Langganan
Ford V Ferrari,Not Available,Not Available
Wild Strawberries,Not Available,Not Available
Mr. Smith Goes To Washington,Apple TV,"25.000,00"
The Third Man,Not Available,Not Available
Logan,Not Available,Not Available
Rocky,Apple TV,"25.000,00"
Tokyo Story,Not Available,Not Available
The Big Lebowski,Not Available,Not Available
The Seventh Seal,Not Available,Not Available
Room,Not Available,Not Available
Spotlight,Not Available,Not Available
The Terminator,Apple TV,"25.000,00"
Hotel Rwanda,Not Available,Not Available
Platoon,Apple TV,"25.000,00"
Pirates Of The Caribbean: The Curse Of The Black Pearl,Not Available,Not Available
La Haine,Not Available,Not Available
Jai Bhim,Amazon Prime Video,Langganan
Before Sunset,Google Play Film & TV,"28.000,00"
The Passion Of Joan Of Arc,Not Available,Not Available
The Best Years Of Our Lives,Not Available,Not Available
The Exorcist,Google Play Film & TV,"25.000,00"
The Exorcist,Apple TV,"25.000,00"
A Man Escaped,Not Available,Not Available
Rush,Not Available,Not Available
The Incredibles,Not Available,Not Available
The Wizard Of Oz,Google Play Film & TV,"25.000,00"
The Wizard Of Oz,Apple TV,"25.000,00"
Network,Apple TV,"25.000,00"
Stand By Me,Netflix,Langganan
Stand By Me,Apple TV,Langganan
Hachi: A Dog'S Tale,Not Available,Not Available
The Sound Of Music,Not Available,Not Available
My Father And My Son,Not Available,Not Available
To Be Or Not To Be,Not Available,Not Available
The Handmaiden,Not Available,Not Available
Into The Wild,Google Play Film & TV,"25.000,00"
Into The Wild,Apple TV,"25.000,00"
The Battle Of Algiers,Not Available,Not Available
The Iron Giant,Apple TV,"25.000,00"
The Grapes Of Wrath,Not Available,Not Available
Groundhog Day,Apple TV,"25.000,00"
Groundhog Day,Google Play Film & TV,"25.000,00"
Amores Perros,Not Available,Not Available
Rebecca,Netflix,Langganan
The Help,Not Available,Not Available
Cool Hand Luke,Apple TV,"25.000,00"
Cool Hand Luke,Google Play Film & TV,"25.000,00"
A Silent Voice: The Movie,Netflix,Langganan
"Paris, Texas",Not Available,Not Available
