Title,Streaming On,Price
City of god,Not Available,Not Available
The green mile,Netflix,Langganan
The green mile,Apple TV,Langganan
The green mile,Google Play Film & TV,Langganan
Life is beautiful,Not Available,Not Available
Terminator 2: judgment day,Apple TV,"Dari Rp 25.000,00"
Star wars: episode iv - a new hope,Not Available,Not Available
Back to the future,Amazon Prime Video,Langganan
Spirited away,Netflix,Langganan
The pianist,Not Available,Not Available
Parasite,iQIYI,Langganan
Psycho,Netflix,Langganan
Gladiator,Max,Langganan
Gladiator,Apple TV,Langganan
Gladiator,Google Play Film & TV,Langganan
The lion king,Not Available,Not Available
The departed,Apple TV,"Dari Rp 25.000,00"
The departed,Google Play Film & TV,"Dari Rp 25.000,00"
Spider-man: across the spider-verse,Netflix,Langganan
Spider-man: across the spider-verse,Google Play Film & TV,Langganan
Spider-man: across the spider-verse,Apple TV,Langganan
Grave of the fireflies,Netflix,Langganan
Whiplash,Not Available,Not Available
American history x,Google Play Film & TV,"Dari Rp 28.000,00"
Léon: the professional,Not Available,Not Available
The prestige,Max,Langganan
The prestige,Apple TV,Langganan
Harakiri,Not Available,Not Available
Casablanca,Google Play Film & TV,"Dari Rp 25.000,00"
Casablanca,Apple TV,"Dari Rp 25.000,00"
The usual suspects,Not Available,Not Available
The intouchables,Not Available,Not Available
Cinema paradiso,Not Available,Not Available
Dune: part two,Max,Langganan
Dune: part two,Apple TV,Langganan
Dune: part two,Google Play Film & TV,Langganan
Modern times,Not Available,Not Available
Alien,Not Available,Not Available
Rear window,Not Available,Not Available
Once upon a time in the west,Not Available,Not Available
Django unchained,Vidio,Langganan
Django unchained,Apple TV,Langganan
City lights,Apple TV,"Dari Rp 29.000,00"
Apocalypse now,Not Available,Not Available
Memento,Not Available,Not Available
Wall·e,Not Available,Not Available
Indiana jones and the raiders of the lost ark,Google Play Film & TV,"Dari Rp 25.000,00"
Indiana jones and the raiders of the lost ark,Apple TV,"Dari Rp 25.000,00"
The lives of others,Not Available,Not Available
12th fail,Netflix,Langganan
Sunset boulevard,Google Play Film & TV,"Dari Rp 25.000,00"
Avengers: infinity war,Not Available,Not Available
Paths of glory,Apple TV,"Dari Rp 25.000,00"
Spider-man: into the spider-verse,Max,Langganan
Spider-man: into the spider-verse,Vidio,Langganan
Spider-man: into the spider-verse,Google Play Film & TV,Langganan
Spider-man: into the spider-verse,Apple TV,Langganan
Witness for the prosecution,Apple TV,"Dari Rp 25.000,00"
The shining,Max,Langganan
The shining,Apple TV,Langganan
The great dictator,Not Available,Not Available
Aliens,Not Available,Not Available
Inglourious basterds,Amazon Prime Video,Langganan
Inglourious basterds,Apple TV,Langganan
Inglourious basterds,Google Play Film & TV,Langganan
The dark knight rises,Max,Langganan
The dark knight rises,Apple TV,Langganan
The dark knight rises,Google Play Film & TV,Langganan
Coco,Not Available,Not Available
Amadeus,Apple TV,"Dari Rp 25.000,00"
Toy story,Not Available,Not Available
Dr. strangelove or: how i learned to stop worrying and love the bomb,Apple TV,"Dari Rp 25.000,00"
Oldboy,Not Available,Not Available
American beauty,Google Play Film & TV,"Dari Rp 25.000,00"
American beauty,Apple TV,"Dari Rp 25.000,00"
Avengers: endgame,Not Available,Not Available
Das boot,Not Available,Not Available
Good will hunting,Max,Langganan
Good will hunting,Apple TV,Langganan
Braveheart,Not Available,Not Available
Princess mononoke,Netflix,Langganan
Your name.,Apple TV,"Dari Rp 29.000,00"
Joker,Max,Langganan
Joker,Apple TV,Langganan
Joker,Google Play Film & TV,Langganan
High and low,Netflix,Langganan
3 idiots,Apple TV,"Dari Rp 25.000,00"
Once upon a time in america,Not Available,Not Available
Singin' in the rain,Not Available,Not Available
Capernaum,Not Available,Not Available
Come and see,Not Available,Not Available
Requiem for a dream,Apple TV,"Dari Rp 25.000,00"
Toy story 3,Not Available,Not Available
Star wars: episode vi - return of the jedi,Not Available,Not Available
The hunt,Netflix,Langganan
The hunt,Apple TV,Langganan
The hunt,Google Play Film & TV,Langganan
Eternal sunshine of the spotless mind,Netflix,Langganan
Eternal sunshine of the spotless mind,iQIYI,Langganan
Eternal sunshine of the spotless mind,Amazon Prime Video,Langganan
Ikiru,Not Available,Not Available
2001: a space odyssey,Google Play Film & TV,"Dari Rp 25.000,00"
2001: a space odyssey,Apple TV,"Dari Rp 25.000,00"
Reservoir dogs,Apple TV,"Dari Rp 25.000,00"
Lawrence of arabia,Netflix,Langganan
Lawrence of arabia,Google Play Film & TV,Langganan
Lawrence of arabia,Apple TV,Langganan
The apartment,Apple TV,"Dari Rp 25.000,00"
Incendies,Not Available,Not Available
